Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore
female,group C,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74,72.0
female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,69,90,88,82.33333333333333
female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91,90.33333333333333
male,group A,associate's degree,free/reduced,none,married,never,no,1,school_bus,5 - 10,45,56,42,47.666666666666664
male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,76,78,75,76.33333333333333
female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,73,84,79,78.66666666666667
female,group B,some college,standard,completed,widowed,never,no,1,private,5 - 10,85,93,89,89.0
male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39,41.0
male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68,65.66666666666667
female,group B,high school,free/reduced,none,married,regularly,yes,2,private,< 5,37,59,50,48.666666666666664
male,group C,associate's degree,standard,none,married,sometimes,yes,1,private,5 - 10,58,54,52,54.666666666666664
male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,40,52,43,45.0
female,group B,high school,standard,none,married,regularly,no,1,private,5 - 10,66,82,74,74.0
male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71,74.66666666666667
female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58,53.0
female,group C,some high school,standard,none,married,sometimes,yes,0,private,5 - 10,69,75,78,74.0
male,group C,high school,standard,none,married,sometimes,yes,0,school_bus,5 - 10,88,89,86,87.66666666666667
female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 - 10,18,32,28,26.0
male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,5 - 10,46,42,47,45.0
female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58,54.666666666666664
male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,5 - 10,66,69,63,66.0
female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,5 - 10,65,75,70,70.0
male,group D,some college,standard,none,married,never,yes,5,school_bus,5 - 10,42,53,51,48.666666666666664
female,group C,some high school,standard,none,divorced,never,no,3,school_bus,5 - 10,66,71,71,69.33333333333333
male,group D,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,5 - 10,74,71,80,75.0
male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,5 - 10,75,76,76,75.66666666666667
male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53,57.333333333333336
female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76,71.66666666666667
male,group C,high school,standard,none,married,sometimes,no,1,private,5 - 10,70,70,65,68.33333333333333
female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72,70.0
female,group B,some college,standard,none,single,sometimes,yes,5,school_bus,5 - 10,63,65,61,63.0
female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 - 10,56,73,66,65.0
male,group C,some college,standard,none,married,sometimes,no,2,private,5 - 10,40,42,38,40.0
male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,5 - 10,97,87,82,88.66666666666667
male,group E,associate's degree,standard,completed,single,sometimes,no,2,school_bus,5 - 10,81,81,79,80.33333333333333
female,group D,associate's degree,standard,none,married,regularly,no,2,private,5 - 10,76,82,85,81.0
female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,5 - 10,51,64,60,58.333333333333336
female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,5 - 10,77,91,90,86.0
male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,5 - 10,58,56,58,57.333333333333336
male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,5 - 10,53,60,52,55.0
female,group C,associate's degree,standard,none,divorced,regularly,no,1,school_bus,5 - 10,59,74,69,67.33333333333333
male,group B,some college,free/reduced,none,married,regularly,yes,3,school_bus,5 - 10,60,65,67,64.0
female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52,51.666666666666664
male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55,57.0
female,group C,high school,standard,none,married,regularly,yes,2,private,5 - 10,67,72,77,72.0
male,group C,high school,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,82,84,82,82.66666666666667
male,group E,some college,standard,none,married,sometimes,no,3,school_bus,> 10,54,55,48,52.333333333333336
male,group C,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68,70.66666666666667
male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43,48.0
male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,5 - 10,88,78,75,80.33333333333333
female,group C,some high school,free/reduced,completed,married,regularly,yes,2,private,> 10,75,86,90,83.66666666666667
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,5 - 10,33,41,43,39.0
female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87,85.66666666666667
male,group D,associate's degree,standard,none,single,sometimes,no,2,private,5 - 10,52,55,49,52.0
male,group D,some college,standard,completed,married,regularly,no,1,private,> 10,61,60,60,60.333333333333336
female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10,9.0
male,group A,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,39,39,34,37.333333333333336
male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,5 - 10,62,61,55,59.333333333333336
female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,5 - 10,59,58,59,58.666666666666664
male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58,61.0
male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,5 - 10,45,37,37,39.666666666666664
female,group C,some college,standard,none,married,regularly,no,3,school_bus,5 - 10,61,73,75,69.66666666666667
male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,5 - 10,62,58,57,59.0
female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,5 - 10,39,64,57,53.333333333333336
male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64,61.0
female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,5 - 10,42,51,49,47.333333333333336
male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,5 - 10,59,56,54,56.333333333333336
male,group C,some high school,standard,none,married,sometimes,yes,2,private,< 5,47,48,40,45.0
male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,2,school_bus,5 - 10,44,41,38,41.0
male,group E,some high school,standard,none,married,sometimes,no,5,school_bus,5 - 10,28,25,21,24.666666666666668
male,group A,some college,standard,completed,married,regularly,yes,2,school_bus,5 - 10,82,79,83,81.33333333333333
female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73,70.0
female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,5 - 10,60,68,68,65.33333333333333
female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52,50.333333333333336
male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,5 - 10,49,45,45,46.333333333333336
male,group A,some college,free/reduced,completed,married,sometimes,no,2,school_bus,5 - 10,50,47,54,50.333333333333336
male,group E,associate's degree,standard,none,married,regularly,yes,0,private,5 - 10,74,64,64,67.33333333333333
male,group D,high school,free/reduced,none,married,never,yes,3,private,5 - 10,40,38,33,37.0
female,group C,some college,standard,none,divorced,sometimes,yes,0,private,5 - 10,73,80,82,78.33333333333333
female,group C,some college,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,73,81,86,80.0
female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,5 - 10,71,71,74,72.0
female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67,64.33333333333333
female,group D,some high school,standard,none,single,sometimes,yes,2,private,> 10,75,87,83,81.66666666666667
male,group C,high school,free/reduced,none,divorced,regularly,no,4,school_bus,5 - 10,27,34,36,32.333333333333336
male,group C,high school,standard,none,divorced,sometimes,no,1,school_bus,< 5,68,77,69,71.33333333333333
male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52,47.666666666666664
female,group B,some college,standard,none,married,regularly,yes,4,private,5 - 10,81,87,94,87.33333333333333
male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,5 - 10,63,65,61,63.0
female,group C,some college,standard,completed,married,never,yes,0,school_bus,< 5,59,69,66,64.66666666666667
female,group D,some college,free/reduced,none,single,regularly,yes,2,school_bus,> 10,61,69,64,64.66666666666667
female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62,64.0
male,group B,some college,standard,none,married,sometimes,no,7,school_bus,5 - 10,79,67,67,71.0
male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,5 - 10,68,74,74,72.0
female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,5 - 10,87,92,91,90.0
male,group B,high school,standard,completed,married,regularly,no,3,school_bus,5 - 10,61,44,48,51.0
male,group C,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,100,88,94,94.0
female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,58,67,72,65.66666666666667
female,group D,master's degree,standard,none,married,sometimes,no,3,private,5 - 10,87,100,100,95.66666666666667
male,group E,some college,standard,completed,single,sometimes,yes,0,school_bus,5 - 10,66,63,64,64.33333333333333
female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,52,76,70,66.0
female,group B,some high school,standard,none,single,regularly,no,3,school_bus,5 - 10,72,64,73,69.66666666666667
female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99,89.33333333333333
male,group C,high school,standard,none,single,regularly,no,6,school_bus,5 - 10,63,55,50,56.0
male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,5 - 10,54,53,47,51.333333333333336
female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,47,56,51,51.333333333333336
female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100,99.0
male,group C,high school,standard,none,married,sometimes,yes,4,private,5 - 10,84,77,74,78.33333333333333
female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,5 - 10,72,83,79,78.0
female,group D,bachelor's degree,standard,none,married,never,no,2,private,5 - 10,75,80,77,77.33333333333333
female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,54,64,63,60.333333333333336
